User,Bot
a button came off my shirt.,what are you going to do?
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
"no, ten of my coworkers got laid off, too.",what are you going to do?
i will as soon as i finish this article.,what are you reading?
i'm going to change the light bulb. it burnt out.,what are you standing on?
$140. i can't believe it.,what are you talking about?
"oh yes, you did.",what are you talking about?
ready for the big switch.,what are you talking about?
what are you getting for your mom?,what are you talking about?
did you read this article?,what article?
"yes, i do.",what college do you go to?
that's what i thought.,what did she say?
"brush, brush. spit, spit.",what did they do in the old days?
i called hp about my computer.,what did they say?
"yes, i did.",what did you buy?
it was hot and sunny every day.,what did you do at night?
i had a busy morning.,what did you do?
i know. i went to china yesterday.,what did you do?
i think i did something real stupid.,what did you do?
my back is killing me.,what did you do?
okay. i did something.,what did you do?
maybe. i'm not sure.,what did you have for breakfast?
i loved it. i want to live there.,what did you like?
she was standing behind me in a really slow line at the checkout counter.,what did you say to her?
i didn't say that.,what did you say?
she said that nothing is more important to me than money.,what did you say?
you're funny.,what did you say? i think i've gone deaf.
"yes, i did.",what did you wash?
she told him to drop his girlfriend.,what did your father do?
"yes, but she looks like a man.",what difference does it make?
they go out to the north parking lot.,what do the teachers do?
of course they talk about us.,what do they say about us?
people talk about current events.,what do they say?
of course they talk to each other.,what do they talk about?
i don't like my job.,what do you do?
i'm busy this friday. i'm sorry.,what do you have to do?
i like this hotel.,what do you like about it?
i listen day and night.,what do you listen to?
and lots of thieves.,what do you mean?
because i watch the other players.,what do you mean?
do you think the bananas fell from the sky?,what do you mean?
don't be ridiculous.,what do you mean?
"for me, it's the students.",what do you mean?
have you heard something that you're not telling me?,what do you mean?
he's a dirty old man.,what do you mean?
"no, because it hurts my ears.",what do you mean?
"no, when i call him on his cell phone.",what do you mean?
no. that's incomplete.,what do you mean?
"oh, no, it isn't!",what do you mean?
"oh, no, you don't.",what do you mean?
"she got an ""everything"" job!",what do you mean?
that election for u.s. senator stunk.,what do you mean?
that's a lot.,what do you mean?
there's nothing in it.,what do you mean?
we can kill two birds with one stone.,what do you mean?
"we will be house rich, but cash poor.",what do you mean?
where's the car?,what do you mean?
which would you prefer?,what do you mean?
"without gravity, you would go up.",what do you mean?
you're watching too much tv.,what do you mean?
i'm going to take five wipes.,what do you need five of them for?
i'm going to the bank.,what do you need to do?
i usually eat a simple salad.,what do you put in it?
it aches most of the time.,what do you think it is?
of course! people everywhere like good jokes.,what do you think people joke about the most?
because you helped make it dirty.,what do you want me to do?
this steak has too much fat.,what do you want the waiter to do?
that should be loads of fun.,what do you want to do next time?
let's go to the animal shelter.,what do you want to do?
let me help you.,"what does ""mi"" mean?"
mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
a blind date doesn't mean that she is blind!,what does it mean?
it's about crime in los angeles.,what does it say?
sometimes.,what does she do?
she's about five feet even.,"what does she look like, though?"
she's one of the prettiest girls at the school.,what does she look like?
"so do i, but not if they're rich.",what does that have to do with it?
i got laid off because there was no work.,what else can you do?
they talk about other animals.,what else do they talk about?
"yes, we do.",what else do we get from cows?
because it has great teachers.,what else?
i got a ticket yesterday.,what for?
i listen to various types of music.,what genres?
why's that?,what good does it do?
i thought about getting out and taking a taxi home.,what happened at the restaurant?
"i think i know, because this happened before.",what happened before?
"a speeding car ran a red light, killing the girl.",what happened to the other student?
i was going to be a doctor.,what happened to your plans?
did you hear the news?,what happened?
he stayed on the thirteenth floor.,what happened?
i did.,what happened?
i got ripped off.,what happened?
i had the worst date the other night.,what happened?
i warned her about her new boyfriend. she didn't listen to me.,what happened?
i was a painter.,what happened?
it doesn't work.,what happened?
the house burned down.,what happened?
two students from usc.,what happened?
"i would've come to see you sooner, but i've been busy too.",what have you been doing?
i've actually been busy lately.,what have you been doing?
"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
she's kind of short.,what height is she?
the cops finally found the husband.,what husband?
to try something new and exciting.,what if i don't like her?
it's only a couple of feet.,"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?"
i enjoy listening to both rock and r&b.,what interests you in that type of music?
gravity is very important.,what is gravity?
there are other things i need to take care of.,what is it that you need to do?
i don't believe the art world.,what is it this time?
"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
"yes, i do.",what kind of car do you have?
they say they want change.,what kind of change?
"we need cheese, bread, and ham.",what kind of cheese?
i have to walk the dog.,what kind of dog do you have?
"yes, cheese is nice.",what kind of dressing do you use?
thank you.,what kind of soup was that?
i enjoy listening to all kinds of music.,what kind?
i think i'll make a sandwich.,what kind?
i think i have the worst boss in the world.,what makes him so bad?
it's the best job i've ever had.,what makes it so good?
how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?
"well, did you want to go see a movie with me?",what movie are you going to see?
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
i've been good. i'm in school right now.,what school do you go to?
a flag should be pretty.,what should our flag look like?
is that right? this is a brand new outfit.,what store did you get it from?
can you make it?,what time does it start?
"it really does, i can't wait.",what time does the party start?
"well, you'd better take it out front.",what time does the recycle truck come by?
can i pick you up friday night?,what time?
can you go?,what time?
someone cut the tires.,what tires?
i stood on the great wall and looked all around.,what was it like?
"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
we had a problem at school.,what was the problem?
that's all right.,what was the reason for your call?
it was a great game.,what was the score at the end of the game?
some actress was in court for driving without a license.,what was the second story?
some actor married a woman young enough to be his daughter.,what was the third story?
i wasn't really feeling well.,what was wrong with you?
i need a job.,what was your last job?
i stayed home because i wasn't feeling well.,what was your problem?
i wasn't picking my nose.,what were you doing?
thank you. i'll buy a new one tomorrow.,what were you doing?
i buried him with his cell phone.,what will you do when the battery dies?
i can't wait till i grow up.,what will you do?
i saw you looking at that woman.,what woman?
"okay, that won't be very crowded.",what would you like to see?
that sounds like a great job.,"whatever a customer ordered, i sliced off a little more for me."
"that's just the altitude change, i think.","whatever it is, it hurts."
"well, maybe it's from the pollution in the air.","whatever the cause, i hate seeing them on my face."
i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
because you need variety.,"what's ""variety?"
because that gets the blood out of the shirt.,what's a little blood?
"well, it's good and bad.",what's bad about it?
i'm bored.,what's on tv?
yes. it's on every afternoon.,what's so good about it?
"no, like a good amateur golfer.",what's so hard about golf?
golf is so hard.,what's so hard about hitting a little white ball?
"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
i want to go to see a movie this weekend.,what's stopping you then?
i'll just use the atm.,what's that?
mostly talk radio.,what's that?
"no, it's earth day.",what's that?
i wish my eyes were blue.,what's the matter with green eyes?
i don't like it.,what's the matter with it?
i don't like our flag.,what's the matter with it?
i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
we need a new mattress.,what's the matter with this one?
i need a new computer.,what's the matter with yours?
all i get is a black screen.,what's the matter?
are you crazy?,what's the matter?
i have to check the stove.,what's the matter?
i'm calling the waiter.,what's the matter?
i'm not in the mood.,what's the matter?
my ear is killing me.,what's the matter?
i'm not sleeping here tonight.,what's the matter? this is a nice room.
"well, i guess that's why he did it.",what's the point?
"you do this 18 times, because there are 18 holes.",what's the point?
i'll talk to you later.,what's the rush?
nothing that would pass as news.,what's the weather going to be like this weekend?
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
let's take a walk.,what's the weather like?
"before you go to that interview, check yourself.",what's to check?
there's something wrong with my right hand.,what's wrong with it?
i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
because he likes to scuba dive.,what's wrong with that?
he said he would buy her a nice ring.,what's wrong with that?
"maybe the room is nice, but not the bed.",what's wrong with the bed?
i did.,what's wrong with them so soon?
there's something wrong with my orange.,what's wrong?
what do you mean?,what's your mailing address?
they're all asking the same question.,when are they going to fix this problem?
i need to fly to new york.,when are you going?
that's my perfume.,when can i wear perfume?
thank you.,when did he die?
no. i'm divorced.,when did you get divorced?
"yes, i do.",when did you learn how to do that?
i don't know.,when did you lose it?
it leaves at 12:15.,when do you have to be at the airport?
did you want to go?,when does it start?
"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
are there any hobbies you do?,"when i have time, i sometimes draw and paint."
when's that?,when i need something.
that's not right!,"when i started to cross the street, the white walk sign was blinking."
"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
of course.,when is he coming?
what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
what's bad about it?,"when you finish, all you do is start another job!"
"yes, but i talk to him almost every day.",when you go to church?
don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments."
you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
occasionally.,when's that?
"well, that's between 2:00 and 4:00 a.m.",where are all these people going?
paper cuts can hurt a lot.,where are the band-aids?
"yes, it's cheaper than a hot dog or a beer.",where are the seats?
i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
let's go for a ride.,where are we going?
i started school recently.,where are you going to school?
a man i met in a coffee shop.,where did you go?
"first, i have to find the button.",where did you lose it?
i lost my new pen.,where did you lose it?
the car isn't here.,where did you park it?
"yes, if they do it quickly.",where do the students go?
i use a calling card.,where do you get that?
then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
"well, it's one of them.",where do you go to watch people?
that sounds like fun.,where do you want to go?
that would be fun.,where do you want to go?
yes. that's a good idea.,where do you want to go?
me too.,where does cheese come from?
about 50 percent of the time he's traveling.,where does he travel to?
a car that was owned by a little old lady.,where have you looked?
i live in pasadena.,where is pasadena?
the tires on the cars.,where were the cars?
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
the bread is in the cabinet.,where's the mustard?
i want to buy lunch.,where's your money?
"yes, i would love one.",which one do you want?
what about that new game show?,which one?
where's the pencil sharpener?,which one?
i'm actually in school right now.,which school do you attend?
so are cigarettes.,which would you prefer?
what do you mean?,"while you're using the bathroom, i'll order some food."
the election is next week.,who are you voting for?
you're sitting there with your mouth open.,who cares?
people will think i'm strange.,who cares? everyone is strange.
"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.
lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
"yes, in fact, i did.",who did you go out with?
"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
i voted for ralph nader.,who in the world is ralph nader?
maybe because they didn't have to brush and floss.,who invented flossing?
"he was invited, along with about 90 other veterans.",who invited them?
who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
what is this world coming to?,who knows? maybe soon we'll have pink bananas.
why doesn't it close?,who knows? they said they'll fix it before next season.
of living.,"who knows? you live, and then you die."
they go in one ear and out the other.,who makes up all these jokes?
"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
people think you might be sick.,who thinks that?
"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
i was writing a letter.,who were you writing to?
they want to get guns off the street.,who would turn in a gun for $200?
they were in a crosswalk near school at 3 a.m.,who?
"oh, yeah. he's changing it to a basketball court.",who's paying for that?
"up to $200 for each gun, no questions asked.",why are they doing this?
it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.
it was nice talking to you.,why are you trying to rush me off the phone?
"my dad went to washington, d.c.",why did he do that?
i found out that she gave it to her new boyfriend.,why did she do that?
my wife left me.,why did she leave you?
a team of doctors gave her a whole new face.,why did they do that?
he's been in jail three times already.,why did they ever let him out?
some private organization.,why did they invite him?
"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
i switched from pasta to potatoes.,why did you do that?
they never shut up.,why did you get a poodle?
i got divorced two years ago.,why did you get divorced?
so are mine.,why did your parents get divorced?
"yes, it was.",why didn't she love you anymore?
i have to go to the bathroom.,why didn't you go before we left?
i had to take my friend to the airport.,why didn't you take a nap when you got home?
they also ate with their fingers!,why do they call it the good old days?
my fingers hurt.,why do they hurt?
they want tax cuts.,why do they want tax cuts?
we need to save money.,why do we need to save money?
we take our rosters to the parking lot and take roll.,why do you do that?
me too.,why do you hate to go outside?
let me think about it.,why do you have to think about it?
"oh, yes, i really like it.",why do you like it?
i like to listen to rock and r&b.,why do you like that type of music?
okay. it looks like rain.,why do you say that?
you're driving too fast.,why do you say that?
you're very lucky.,why do you say that?
"to the city, of course.",why do you want to move there?
the dome doesn't close.,why doesn't it close?
i'm sleepy.,why don't you go to bed?
i don't know. i just woke up.,why don't you look outside?
my car is dirty.,why don't you wash it?
i feel so sorry for those people.,why feel sorry for rich people?
speaking. what's up?,why haven't you answered the phone?
i missed you too.,why haven't you tried to come see me then?
i would if i had the money.,why is it so slow?
but i'm worried about tiger.,why is that?
i didn't get home until 30 minutes ago.,why is that?
i enjoy rock and r&b.,why is that?
i'll be glad when winter comes.,why is that?
i'm a good card player.,why is that?
i'm upset with my mom.,why is that?
people who live in california are crazy.,why is that?
probably not.,why is that?
"yes, and i hope that it does.",why is that?
you can help me.,why me?
don't ever be in a hurry when you're driving.,why not?
i can't do that.,why not?
i don't feel like going.,why not?
"i don't have a girlfriend, either.",why not?
i don't like riding the bus.,why not?
i don't like that man.,why not?
i haven't looked anywhere yet.,why not?
i never used to buy swiss cheese.,why not?
i wouldn't do that.,why not?
i'd rather not.,why not?
i'm not voting for the mayor.,why not?
"i'm sorry, i can't.",why not?
"no, the police don't care.",why not?
of course not.,why not?
you don't want to do that.,why not?
it's the law. they can't keep him in jail forever.,why not? everyone knows he's a firebug. he loves to start fires.
my girlfriend's mom got mad at me at the dinner table.,why was that?
good for him.,why would he do that?
a blind date is a date with someone you don't know.,why would i date someone i don't even know?
don't you ever cheat on me.,why would i do that?
i want to be a mail carrier when i grow up.,why?
put on a coat and tie.,why?
put your seatbelt on.,why?
you need a bath every day.,why?
you should wet your shirt immediately.,why?
i really have to go.,why? i still wanted to talk to you.
then you should watch the rerun.,why? i'm watching the original.
i have to go back upstairs.,why? we're already late.
and now i'm glad that i didn't.,why's that?
he's the best man for president.,why's that?
i don't know why i bother to vote.,why's that?
it must be very lonely.,why's that?
the weather this weekend is supposed to be warm.,will it be good beach weather?
"well, that's cool.",will you be able to make it?
"that's not what i meant by ""do something.""",will you do something? leave me alone.
that's good to hear.,will you go and visit them?
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
bacon and eggs?,"with toast, ham, sausage, fresh fruit, and juice."
"well, i need some help.",with what?
of course it does.,"without gravity, the water would go up."
you're joking.,"without gravity, you would go up."
"only about $30,000.","without the food stains, it would probably be worth more."
we'll be eating peanut butter sandwiches?,without the peanut butter!
doing what?,working.
i'm worried.,worried about what?
thank you.,would you have dinner with me?
i'm still feeling under the weather.,would you like anything for your stomach?
what do you want to do next time?,would you like to go to dinner or something?
i don't know.,would you like to see a movie with me and my friend?
"with toast, ham, sausage, fresh fruit, and juice.",wow! that is nice. let's stay for two nights.
my dad had to buy a new car.,wow! that's terrible.
she said she didn't love me anymore.,wow! that's terrible.
she was a cute 8 pounds 6 ounces.,"wow, how exciting."
is that right?,"yeah, are you going to come?"
"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
that would be weird.,"yeah, especially since it's ninety degrees outside."
"oh, so you took an art class?","yeah, i loved that class."
the party starts at 8.,"yeah, i think i'll go."
that's a good reason to like something.,"yeah, i think so too."
did you go to school today?,"yeah, i went to school today. were you there?"
did you even bother to go to school today?,"yeah, i went. did you go?"
are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
would you like to go to dinner or something?,"yeah, let's do that."
"i really wanted you to come, but i understand.","yeah, maybe next time."
i really hope it rains today.,"yeah, me too."
"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
i really want it to rain today.,"yeah, so do i."
"well, that's okay.","yeah, sorry."
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting."
i like to slide into the bases.,yeah. it's a lot of fun to slide.
and they will yell back at you.,yelling doesn't do any good.
it's too much like other flags.,"yes, a lot of flags have stripes."
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
that will cost him some money.,"yes, about $7 million."
that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
"yes, a thrift shop has that same smell.","yes, an old smell."
did the seller know that?,"yes, and he didn't tell the buyer."
it looks like it may rain soon.,"yes, and i hope that it does."
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
did you put the letter in an envelope?,"yes, and i sealed the envelope."
that's six times a year!,"yes, and it takes about five minutes each time."
do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best."
but a nice restaurant costs money.,"yes, and you have to make a reservation."
oh. but that can be a curse.,"yes, because you can be too sensitive to odors."
"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
they're all so cute.,"yes, but i can't keep them."
we can leave if we put an orange cone here.,"yes, but i don't know where the orange cones are."
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
you still miss him.,"yes, but i talk to him almost every day."
only a threat?,"yes, but i was stuck there all day while they looked for the bomb."
"well, you're supposed to be working.","yes, but i will always pet the friendly dogs."
we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
"this is a popular restaurant, isn't it?","yes, but it isn't a fast-food restaurant, is it?"
a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
can we get tickets?,"yes, but only the cheap tickets."
i guess he really liked his new girlfriend.,"yes, but she left him a year later."
that woman is a very good singer.,"yes, but she looks like a man."
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
were you in a crosswalk?,"yes, but the red hand was blinking."
they still make movies like that.,"yes, but they never make much money."
don't we have about five sharpeners?,"yes, but they seem to have legs."
there are so many great players.,"yes, but who is the greatest?"
i always put cheese in my salads.,"yes, cheese is nice."
that was a nice funeral.,"yes, dad, it was."
that's a good deal.,"yes, even though some of the potatoes had eyes."
do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
that's great.,"yes, except this dent will cost about $150."
did he die?,"yes, he did. his cat died, too."
he changed the game.,"yes, he made the home run popular."
the husband said he tried to help the boy.,"yes, he pushed him off the hood of the car."
the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
they call him father dollar bill.,"yes, he was on the tv news today."
was he smoking?,"yes, he was smoking a cigarette."
did you see that car?,"yes, he went through the red light."
do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
are you serious?,"yes, i am really excited."
did you do the laundry?,"yes, i did."
did you go to the 99 cents store?,"yes, i did."
did you write a letter to grandma?,"yes, i did."
did you yell at them?,"yes, i did."
did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
did you save any money on the sale?,"yes, i did. i saved about $50."
do you go to college?,"yes, i do."
do you have a car?,"yes, i do."
do you have a cold?,"yes, i do."
is that what you really think?,"yes, i do."
you know how to draw and paint?,"yes, i do."
did you dry everything in the dryer?,"yes, i dried everything in the dryer."
it was like being there?,"yes, i felt like i was actually there."
but that's what most people do.,"yes, i guess most of us are stuck in a routine."
so you have seen her around?,"yes, i have."
some people would just pick it up.,"yes, i know. some people are rude."
that one. the one that's all black.,"yes, i like that one, too."
did you look in the desk drawer?,"yes, i looked there, too."
a new hotel is looking for workers.,"yes, i saw it on the tv news."
you've seen it before?,"yes, i saw that movie the first day it came out in theaters."
did he set a new record?,"yes, i think he did."
don't you think it's nice out?,"yes, i think so too."
what about the pillowcases?,"yes, i took them off the pillows and washed them."
i'm going to give them away. do you want one?,"yes, i would love one."
can they take their belongings?,"yes, if they do it quickly."
did you have a date friday night?,"yes, in fact, i did."
doesn't crime cost more than police?,"yes, it does."
does it have a price tag?,"yes, it does. it's only $20."
this is a huge library.,"yes, it has lots of rooms and lots of space."
"it's a little chilly, right?","yes, it is."
it's such a nice day.,"yes, it is."
this is a great neighborhood.,"yes, it is."
"so, it's pretty old now.","yes, it is. but it still looks good."
is there a game tonight?,"yes, it starts at 7 p.m."
it was love at first sight?,"yes, it was love at first sight."
that sounds like a nice date.,"yes, it was pleasant."
that was a huge fire in santa barbara.,"yes, it was."
wow! that's terrible.,"yes, it was."
is it easy to learn?,"yes, it will only take about 30 minutes."
"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be."
so it would be cheaper to hire more police?,"yes, it would."
so? that's a ticket?,"yes, it's a $140 ticket."
do you know what today is?,"yes, it's april 22."
do you like this house?,"yes, it's beautiful."
so maybe we better leave at 8:15?,"yes, it's better to get there too early than too late."
that's a good price.,"yes, it's cheaper than a hot dog or a beer."
our tv remote is filthy.,"yes, it's covered with crud."
really?,"yes, it's just a couple of screws."
i have to clean the house.,"yes, it's very dirty."
does god answer your prayers?,"yes, i've passed all my tests."
who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
like fruit that is too ripe?,"yes, just like fruit that is too ripe."
and the government will give you a fourth story.,"yes, like the government says not to worry about the swine flu."
did you wipe your feet?,"yes, of course i wiped my feet."
but the smell is different.,"yes, old people don't smell like fruit."
rained out?,"yes, rained out."
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
all the tv stations are going to go digital.,"yes, that will occur next month."
"well, i guess that's it.","yes, that's all i need for now."
"when you finish, all you do is start another job!","yes, that's right. it does get boring."
"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
"if you're a smart doctor, you stay away from hospitals.","yes, the smart doctors are those tv news doctorsno hospitals, no patients."
because i love the snow.,"yes, the snow is fun."
a great burger and great service.,"yes, the workers are very polite."
there's a real nice park nearby.,"yes, there is."
are your nails clean?,"yes, they are."
people are friendly.,"yes, they are."
the streets and sidewalks are clean.,"yes, they are."
"so, they do a good job for the money.","yes, they do."
"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers."
"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
"so we get cheese from cows, and we get milk, too?","yes, we do."
"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
did you get your official sample ballot?,"yes, with the voter instructions."
i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
"well, of course i want to go when the weather is nice.","yes, you don't want to travel in winter storms."
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
bluedog123. are you sure that's all?,yes.
did he sign it?,yes.
"we get a lot of things from cows, don't we?",yes. a cow is man's best friend.
did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
are you right-handed?,yes. all my life.
how about some potato chips?,"yes. and a pickle, if we have any."
you think so?,yes. good for you.
did he say what time?,yes. he said he'd be here at 9 o'clock.
did you call the manager?,yes. he said he'd come over tomorrow.
i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
you bought a new car?,yes. i bought a cadillac.
did you see that puddle of water on the floor?,yes. i called for a clean-up.
your nose is stopped up?,yes. i have to breathe through my mouth.
are you sure?,yes. i remember this big tree.
so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
really?,"yes. i think when you get old, you begin to smell."
did he understand what the problem is?,yes. i told him our doorbell doesn't work.
but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
bring a jacket.,yes. it gets a little cool at night.
"did you see ""titanic""?",yes. it is a great movie.
did you look in your desk?,"yes. it isn't there, either."
anything else?,yes. it's not expensive!
is that a tv show?,yes. it's on every afternoon.
to the grand canyon?,yes. i've never been there.
i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
do you want to go fishing?,yes. that's a good idea.
is that it?,yes. that's all i ever give her.
that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.
let's go to the lake.,yes. the lake is only 10 miles away.
"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
are you going to start a family?,yes. we want to have a little boy and a little girl.
then you flew back home that evening?,"yes. when we landed, tv reporters and the army band were there."
really?,yes. you really deserved this.
excuse me.,yes?
look at this sheet.,yes?
you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
"no, they don't. one is black and one is dark blue.",yikes! thank you.
"like keep your left arm straight, keep your head down, and follow through.",yikes! who can remember all that?
"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
i have enough stress from trying to solve my own problems.,you and everybody else.
"oh, really?",you are coming?
no problem. these pants have an elastic waistband.,you are so smart!
i want to show you my new car.,you bought a new car?
i shook it. there is no more ink.,you can borrow mine.
"yes, it's very dirty.",you can help me.
tiger is the greatest golfer in the world.,you can say that again.
how come?,you can see the stars so much more clearly after it rains.
"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
the internet is amazing.,you can travel all over the world.
"but, mom!",you can watch tv after you do your homework.
"so, i'll just buy another one.",you can wear this one around the house.
but what can you do?,you can yell at them.
i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
you can't believe what you hear on tv or radio.,you can't believe what you read in the newspapers.
every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
the ocean is so big.,you can't see the end of it.
i bought it on a hunch.,you didn't read about the company first?
i didn't realize that.,you didn't?
"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes."
i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.
"half of them are coughing, and the other half are sneezing.",you don't have any elbow room or knee room.
"so, forget it.",you don't have the money?
that's ridiculous!,you don't like pretty women?
sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatcigarettes stink.
about finding a job for me.,you don't need a job. i make enough money for both of us.
of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
"i'm not being nosey, it's just a question.",you don't need to worry about that.
the police need to shoot all the bears.,you don't solve a problem by shooting it.
sometimes i want to throw it out the window.,you don't want to do that.
i have to go to the bathroom.,you drink too much coffee.
"well, it's your life.",you eat too much chocolate.
what good does it do?,you get to put someone in power that you like.
i'm falling asleep on the phone.,you got up real early.
i was taught in high school how to draw and paint.,you had an art class?
how about a pizza?,you had pizza for lunch.
i watered all the plants.,you have a lot of plants.
if only i was talented.,you have a talent. you just don't know what it is yet.
that was my favorite class.,you have got to be talented.
i think only the family will be there.,"you have lots of friends. they will be there, too!"
i appreciate that.,you have no idea how happy i am for you.
but i got lucky a few minutes later.,you have to be lucky to find a parking space.
then why can't i quit?,you have to believe in yourself.
babies cry all the time.,you have to change their diapers.
have you heard my good news?,you haven't told me anything yet.
it certainly is.,you hit a white ball.
i enjoy drawing and painting.,you know how to draw and paint?
why not?,you know i don't like crowds.
please?,you know the rules.
what are you talking about?,you know what i'm talking about.
so?,you know what that means.
i don't have any idea.,you know what you did.
what woman?,"you know, that woman with the big boobs."
i hope that it does rain.,you like the rain?
i like my food hot and fresh.,you like to see it disappear.
it can be dangerous.,you mean he could drown.
"if not, your nose will wake you up.",you mean i will smell the food cooking?
it's hard if you want to do it right.,you mean like tiger?
"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
different thingsnot the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
a girl i met at the market.,you met a girl at the supermarket?
then maybe it's in your genes.,you might be right.
you mean i will smell the food cooking?,you might even dream about dinner.
why not?,you might hit someone in the head.
